Item,Value,Parameters,Max,Avg,Min,Test 1 - raw,Test 1 - ppfd
Measurement Time,08/10/2018 16:28:08,380,N/A,N/A,N/A,0.003,0.013
Product Name*,104,381,N/A,N/A,N/A,0.004,0.015
Manufacturer,,382,N/A,N/A,N/A,0.004,0.016
Plant Name,,383,N/A,N/A,N/A,0.004,0.017
User,,384,N/A,N/A,N/A,0.004,0.017
Temperature(℃),27.40,385,N/A,N/A,N/A,0.004,0.016
Humidity(%),55.56,386,N/A,N/A,N/A,0.004,0.016
Distance to Light Source(m),,387,N/A,N/A,N/A,0.004,0.015
Lamp warm-up period(min),,388,N/A,N/A,N/A,0.003,0.015
Height of Plant(mm),,389,N/A,N/A,N/A,0.003,0.015
Note,"",390,N/A,N/A,N/A,0.003,0.015
,,391,N/A,N/A,N/A,0.003,0.015
,,392,N/A,N/A,N/A,0.003,0.015
,,393,N/A,N/A,N/A,0.003,0.015
,,394,N/A,N/A,N/A,0.004,0.016
,,395,N/A,N/A,N/A,0.004,0.017
,,396,N/A,N/A,N/A,0.004,0.017
,,397,N/A,N/A,N/A,0.004,0.018
,,398,N/A,N/A,N/A,0.004,0.019
,,399,N/A,N/A,N/A,0.004,0.019
,,400,N/A,N/A,N/A,0.004,0.019
,,401,N/A,N/A,N/A,0.004,0.020
,,402,N/A,N/A,N/A,0.004,0.020
,,403,N/A,N/A,N/A,0.005,0.020
,,404,N/A,N/A,N/A,0.005,0.021
,,405,N/A,N/A,N/A,0.005,0.021
,,406,N/A,N/A,N/A,0.005,0.021
,,407,N/A,N/A,N/A,0.005,0.021
,,408,N/A,N/A,N/A,0.005,0.022
,,409,N/A,N/A,N/A,0.005,0.023
,,410,N/A,N/A,N/A,0.005,0.024
,,411,N/A,N/A,N/A,0.006,0.026
,,412,N/A,N/A,N/A,0.006,0.028
,,413,N/A,N/A,N/A,0.006,0.030
,,414,N/A,N/A,N/A,0.007,0.033
,,415,N/A,N/A,N/A,0.008,0.037
,,416,N/A,N/A,N/A,0.009,0.041
,,417,N/A,N/A,N/A,0.010,0.047
,,418,N/A,N/A,N/A,0.011,0.053
,,419,N/A,N/A,N/A,0.013,0.060
,,420,N/A,N/A,N/A,0.015,0.069
,,421,N/A,N/A,N/A,0.017,0.080
,,422,N/A,N/A,N/A,0.020,0.093
,,423,N/A,N/A,N/A,0.023,0.108
,,424,N/A,N/A,N/A,0.026,0.126
,,425,N/A,N/A,N/A,0.031,0.147
,,426,N/A,N/A,N/A,0.036,0.172
,,427,N/A,N/A,N/A,0.042,0.202
,,428,N/A,N/A,N/A,0.049,0.238
,,429,N/A,N/A,N/A,0.058,0.281
,,430,N/A,N/A,N/A,0.069,0.331
,,431,N/A,N/A,N/A,0.080,0.389
,,432,N/A,N/A,N/A,0.094,0.454
,,433,N/A,N/A,N/A,0.109,0.529
,,434,N/A,N/A,N/A,0.126,0.614
,,435,N/A,N/A,N/A,0.145,0.710
,,436,N/A,N/A,N/A,0.167,0.817
,,437,N/A,N/A,N/A,0.191,0.938
,,438,N/A,N/A,N/A,0.218,1.072
,,439,N/A,N/A,N/A,0.248,1.223
,,440,N/A,N/A,N/A,0.281,1.388
,,441,N/A,N/A,N/A,0.317,1.571
,,442,N/A,N/A,N/A,0.357,1.771
,,443,N/A,N/A,N/A,0.399,1.983
,,444,N/A,N/A,N/A,0.442,2.207
,,445,N/A,N/A,N/A,0.488,2.441
,,446,N/A,N/A,N/A,0.533,2.671
,,447,N/A,N/A,N/A,0.576,2.890
,,448,N/A,N/A,N/A,0.614,3.090
,,449,N/A,N/A,N/A,0.647,3.261
,,450,N/A,N/A,N/A,0.672,3.396
,,451,N/A,N/A,N/A,0.689,3.490
,,452,N/A,N/A,N/A,0.697,3.537
,,453,N/A,N/A,N/A,0.695,3.535
,,454,N/A,N/A,N/A,0.684,3.487
,,455,N/A,N/A,N/A,0.664,3.396
,,456,N/A,N/A,N/A,0.636,3.259
,,457,N/A,N/A,N/A,0.602,3.091
,,458,N/A,N/A,N/A,0.564,2.901
,,459,N/A,N/A,N/A,0.523,2.698
,,460,N/A,N/A,N/A,0.482,2.491
,,461,N/A,N/A,N/A,0.441,2.285
,,462,N/A,N/A,N/A,0.403,2.089
