"Sample ID","Description","K","Ca","Mg","Na","P","S","Cl","NH4-N","NO3-N","ALK","pH","EC","Urea","Fe","Mn","B","Cu","Zn","Mo","Al","Sample Date","Sample Type","Water Source","Concerns/Problems","Fertilizer Specifics","Desired Concentration","Injector Information","Comments"
"18-267268","FS2 01 Base","1.73","13.07","2.65","44.36","0.45","3.54","74.49","0","0.38","26.37","7.37","0.29","0","0.05","0","0.01","0.12","0.3","0.02","0.03","Tue Jul 31, 2018"," Water"," Municipal"," No Concerns","","","",""
"18-267269","FS2 02 Base","1.32","12.84","2.46","45.94","0.23","2.64","77.17","0.09","0.23","44.71","7.36","0.29","0","0.06","0","0","0.12","0.29","0","0","Tue Jul 31, 2018"," Water"," Municipal"," No Concerns","","","",""
"18-267270","FS2 03 Base","1.37","12.75","2.43","44.21","0.29","2.77","75.26","0.13","0.03","30.03","7.23","0.29","0","0.03","0","0","0.11","0.28","0","0","","","","","","","",""
"18-267271","FS2 04 Base","1.28","12.39","2.38","44.54","0.17","2.56","75.42","0.13","0.54","33.2","7.43","0.28","0","0.04","0","0","0.31","0.18","0.01","0.01","","","","","","","",""
"18-267272","FS2 05 Base","1.23","12.7","2.42","44.02","0.28","2.85","73.84","0.09","0.19","30.53","7.37","0.28","0","0.04","0","0.01","0.15","0.36","0.01","0","","","","","","","",""
"18-267273","FS2 06 Base","1.16","12.47","2.39","43.82","0.32","2.99","74.91","0.27","0.22","31.53","7.39","0.28","0","0.05","0","0.01","0.14","0.32","0.01","0","","","","","","","",""
"18-267274","FS2 07 Base","1.29","13.17","2.54","44.74","0.09","2.79","77.1","0.39","0.28","33.7","7.32","0.3","0","0.01","0","0.01","0.14","0.24","0.01","0","","","","","","","",""
"18-267275","FS2 08 Base","1.19","12.46","2.42","44.52","0.18","2.79","75.42","0.13","0.05","29.7","7.4","0.29","0","0.04","0","0","0.1","0.25","0.01","0","","","","","","","",""
"18-267276","FS2 09 Base","1.29","12.75","2.45","44.21","0.24","3.12","75.87","0.21","0.24","33.37","7.17","0.28","0","0.04","0","0","0.21","0.33","0.01","0","","","","","","","",""
"18-267277","FS2 10 Base","1.09","12.05","2.39","42.86","0.22","2.64","73.5","0.24","1.68","32.03","7.38","0.27","0","0.02","0","0","0.12","0.28","0.01","0","","","","","","","",""
