# Omega OM-92 Logger 

# Configuration :
DeviceID,6810
LoggingStart,Button Press
LoggingStartTime,09.10 14:55:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2018-08-23,12:30:00,,2018-08-23 12:30:00,26.8958,47.5774,14.8253
,,2,2018-08-23,12:40:00,,2018-08-23 12:40:00,26.4775,56.5725,17.1518
,,3,2018-08-23,12:50:00,,2018-08-23 12:50:00,26.5097,52.2771,15.9395
,,4,2018-08-23,13:00:00,,2018-08-23 13:00:00,26.3488,49.4771,14.9329
,,5,2018-08-23,13:10:00,,2018-08-23 13:10:00,26.3488,57.9,17.3986
,,6,2018-08-23,13:20:00,,2018-08-23 13:20:00,26.4453,52.1551,15.8435
,,7,2018-08-23,13:30:00,,2018-08-23 13:30:00,26.3488,49.6755,14.9951
,,8,2018-08-23,13:40:00,,2018-08-23 13:40:00,26.3595,58.518,17.5769
,,9,2018-08-23,13:50:00,,2018-08-23 13:50:00,26.4775,51.2472,15.5987
,,10,2018-08-23,14:00:00,,2018-08-23 14:00:00,26.3702,49.7442,15.0362
,,11,2018-08-23,14:10:00,,2018-08-23 14:10:00,26.4131,61.112,18.3169
,,12,2018-08-23,14:20:00,,2018-08-23 14:20:00,26.4453,49.9044,15.1552
,,13,2018-08-23,14:30:00,,2018-08-23 14:30:00,26.3702,50.1409,15.1598
,,14,2018-08-23,14:40:00,,2018-08-23 14:40:00,26.456,62.8438,18.8038
,,15,2018-08-23,14:50:00,,2018-08-23 14:50:00,26.4882,49.1033,14.9429
,,16,2018-08-23,15:00:00,,2018-08-23 15:00:00,26.4131,49.9044,15.1256
,,17,2018-08-23,15:10:00,,2018-08-23 15:10:00,26.574,60.6389,18.3443
,,18,2018-08-23,15:20:00,,2018-08-23 15:20:00,26.4346,48.6989,14.7654
,,19,2018-08-23,15:30:00,,2018-08-23 15:30:00,26.4453,56.458,17.0898
,,20,2018-08-23,15:40:00,,2018-08-23 15:40:00,26.5418,53.4521,16.3178
,,21,2018-08-23,15:50:00,,2018-08-23 15:50:00,26.456,49.3703,14.9977
,,22,2018-08-23,16:00:00,,2018-08-23 16:00:00,26.4989,59.9599,18.0943
,,23,2018-08-23,16:10:00,,2018-08-23 16:10:00,26.4775,49.4008,15.0269
,,24,2018-08-23,16:20:00,,2018-08-23 16:20:00,26.4668,52.4831,15.9615
,,25,2018-08-23,16:30:00,,2018-08-23 16:30:00,26.6169,55.573,17.0001
,,26,2018-08-23,16:40:00,,2018-08-23 16:40:00,26.5955,49.2254,15.0797
,,27,2018-08-23,16:50:00,,2018-08-23 16:50:00,26.6062,61.524,18.6059
,,28,2018-08-23,17:00:00,,2018-08-23 17:00:00,26.5847,50.6978,15.5291
,,29,2018-08-23,17:10:00,,2018-08-23 17:10:00,26.456,49.9044,15.165
,,30,2018-08-23,17:20:00,,2018-08-23 17:20:00,26.4131,50.5071,15.3126
,,31,2018-08-23,17:30:00,,2018-08-23 17:30:00,26.4239,50.6063,15.353
,,32,2018-08-23,17:40:00,,2018-08-23 17:40:00,26.4239,50.6063,15.353
,,33,2018-08-23,17:50:00,,2018-08-23 17:50:00,26.4453,57.9305,17.4972
,,34,2018-08-23,18:00:00,,2018-08-23 18:00:00,26.5526,53.2155,16.2581
,,35,2018-08-23,18:10:00,,2018-08-23 18:10:00,26.4453,49.4695,15.019
,,36,2018-08-23,18:20:00,,2018-08-23 18:20:00,26.456,51.0717,15.5254
,,37,2018-08-23,18:30:00,,2018-08-23 18:30:00,26.6062,55.6035,16.9988
,,38,2018-08-23,18:40:00,,2018-08-23 18:40:00,26.5097,48.7295,14.8438
,,39,2018-08-23,18:50:00,,2018-08-23 18:50:00,26.4882,52.3076,15.9288
,,40,2018-08-23,19:00:00,,2018-08-23 19:00:00,26.6169,55.5425,16.9914
,,41,2018-08-23,19:10:00,,2018-08-23 19:10:00,26.5311,48.5998,14.8221
,,42,2018-08-23,19:20:00,,2018-08-23 19:20:00,26.5418,59.3419,17.9697
,,43,2018-08-23,19:30:00,,2018-08-23 19:30:00,26.6276,50.5605,15.5262
,,44,2018-08-23,19:40:00,,2018-08-23 19:40:00,26.5204,49.0652,14.9603
,,45,2018-08-23,19:50:00,,2018-08-23 19:50:00,26.6169,62.1419,18.7758
,,46,2018-08-23,20:00:00,,2018-08-23 20:00:00,26.5847,48.3938,14.8052
,,47,2018-08-23,20:10:00,,2018-08-23 20:10:00,26.5204,54.0395,16.4696
,,48,2018-08-23,20:20:00,,2018-08-23 20:20:00,26.6062,54.5736,16.704
,,49,2018-08-23,20:30:00,,2018-08-23 20:30:00,26.5633,49.2254,15.0503
,,50,2018-08-23,20:40:00,,2018-08-23 20:40:00,26.6062,61.3485,18.5602
,,51,2018-08-23,20:50:00,,2018-08-23 20:50:00,26.6598,49.9654,15.3711
,,52,2018-08-23,21:00:00,,2018-08-23 21:00:00,26.574,49.294,15.0818
,,53,2018-08-23,21:10:00,,2018-08-23 21:10:00,26.6813,60.8144,18.4912
,,54,2018-08-23,21:20:00,,2018-08-23 21:20:00,26.6276,48.2564,14.8003
,,55,2018-08-23,21:30:00,,2018-08-23 21:30:00,26.6169,57.282,17.4791
,,56,2018-08-23,21:40:00,,2018-08-23 21:40:00,26.7563,52.3,16.1741
,,57,2018-08-23,21:50:00,,2018-08-23 21:50:00,26.6169,48.8897,14.993
,,58,2018-08-23,22:00:00,,2018-08-23 22:00:00,26.6598,61.112,18.549
,,59,2018-08-23,22:10:00,,2018-08-23 22:10:00,26.0807,49.2177,14.6055
,,60,2018-08-23,22:20:00,,2018-08-23 22:20:00,25.2548,54.1082,15.3163
,,61,2018-08-23,22:30:00,,2018-08-23 22:30:00,24.665,57.6024,15.7439
,,62,2018-08-23,22:40:00,,2018-08-23 22:40:00,24.0107,54.0319,14.1406
,,63,2018-08-23,22:50:00,,2018-08-23 22:50:00,23.571,56.4275,14.4023
,,64,2018-08-23,23:00:00,,2018-08-23 23:00:00,23.26,57.3888,14.3733
,,65,2018-08-23,23:10:00,,2018-08-23 23:10:00,23.024,57.9763,14.3102
,,66,2018-08-23,23:20:00,,2018-08-23 23:20:00,22.8417,58.6095,14.3075
,,67,2018-08-23,23:30:00,,2018-08-23 23:30:00,22.6808,58.9605,14.249
,,68,2018-08-23,23:40:00,,2018-08-23 23:40:00,22.5521,58.579,14.0281
,,69,2018-08-23,23:50:00,,2018-08-23 23:50:00,22.4234,57.7093,13.6772
,,70,2018-08-24,00:00:00,,2018-08-24 00:00:00,22.2733,57.9076,13.5895
,,71,2018-08-24,00:10:00,,2018-08-24 00:10:00,22.1553,57.8237,13.4569
,,72,2018-08-24,00:20:00,,2018-08-24 00:20:00,22.048,58.1365,13.4394
,,73,2018-08-24,00:30:00,,2018-08-24 00:30:00,22.0266,58.518,13.5197
,,74,2018-08-24,00:40:00,,2018-08-24 00:40:00,21.9944,58.2586,13.4214
,,75,2018-08-24,00:50:00,,2018-08-24 00:50:00,21.9622,57.3583,13.1524
,,76,2018-08-24,01:00:00,,2018-08-24 01:00:00,21.8979,57.6482,13.1695
,,77,2018-08-24,01:10:00,,2018-08-24 01:10:00,21.855,57.1218,12.9889
,,78,2018-08-24,01:20:00,,2018-08-24 01:20:00,21.8121,57.4117,13.0263
,,79,2018-08-24,01:30:00,,2018-08-24 01:30:00,21.7906,57.5872,13.053
,,80,2018-08-24,01:40:00,,2018-08-24 01:40:00,21.7799,57.5567,13.0348
,,81,2018-08-24,01:50:00,,2018-08-24 01:50:00,21.7477,57.7016,13.0432
,,82,2018-08-24,02:00:00,,2018-08-24 02:00:00,21.7477,57.8771,13.0897
,,83,2018-08-24,02:10:00,,2018-08-24 02:10:00,21.7263,57.8161,13.0535
,,84,2018-08-24,02:20:00,,2018-08-24 02:20:00,21.6834,57.2057,12.851
,,85,2018-08-24,02:30:00,,2018-08-24 02:30:00,21.6297,57.4422,12.864
,,86,2018-08-24,02:40:00,,2018-08-24 02:40:00,21.5868,57.4117,12.8157
,,87,2018-08-24,02:50:00,,2018-08-24 02:50:00,21.5332,57.1218,12.6883
,,88,2018-08-24,03:00:00,,2018-08-24 03:00:00,21.5118,57.2362,12.6988
,,89,2018-08-24,03:10:00,,2018-08-24 03:10:00,21.4796,57.5872,12.7621
,,90,2018-08-24,03:20:00,,2018-08-24 03:20:00,21.4581,57.8771,12.8188
,,91,2018-08-24,03:30:00,,2018-08-24 03:30:00,21.4581,58.8003,13.0608
,,92,2018-08-24,03:40:00,,2018-08-24 03:40:00,21.4796,57.7856,12.8146
,,93,2018-08-24,03:50:00,,2018-08-24 03:50:00,21.426,57.0302,12.5636
,,94,2018-08-24,04:00:00,,2018-08-24 04:00:00,21.3616,57.1447,12.5341
,,95,2018-08-24,04:10:00,,2018-08-24 04:10:00,21.3616,58.045,12.7727
,,96,2018-08-24,04:20:00,,2018-08-24 04:20:00,21.3402,57.3507,12.5689
,,97,2018-08-24,04:30:00,,2018-08-24 04:30:00,21.2758,57.2057,12.4702
