# Omega OM-92 Logger 

# Configuration :
DeviceID,4026
LoggingStart,Button Press
LoggingStartTime,10.12 14:55:00
LoggingInterval,10 mins
TemperatureLoggingEnable,true
TemperatureAlarmThresholdHigh,nan
TemperatureAlarmThresholdLow,nan
HumidityLoggingEnable,true
HumidityAlarmThresholdHigh,nan
HumidityAlarmThresholdLow,nan
Celcius/Fahrenheit,Celcius

,,# Sample Info :,,,,#Plot 
,,Data No,Date,Time,,Date/Time,Temperature,Humidity,DewPoint
,,1,2018-09-10,14:50:00,,2018-09-10 14:50:00,24.3612,56.4809,15.1537
,,2,2018-09-10,15:00:00,,2018-09-10 15:00:00,24.1359,57.2668,15.1586
,,3,2018-09-10,15:10:00,,2018-09-10 15:10:00,24.0716,57.4727,15.1543
,,4,2018-09-10,15:20:00,,2018-09-10 15:20:00,24.0609,57.2362,15.0801
,,5,2018-09-10,15:30:00,,2018-09-10 15:30:00,24.0501,57.2668,15.0784
,,6,2018-09-10,15:40:00,,2018-09-10 15:40:00,24.0823,57.1523,15.0774
,,7,2018-09-10,15:50:00,,2018-09-10 15:50:00,24.0716,57.0608,15.0424
,,8,2018-09-10,16:00:00,,2018-09-10 16:00:00,24.0823,56.7708,14.9732
,,9,2018-09-10,16:10:00,,2018-09-10 16:10:00,24.0823,56.6793,14.9482
,,10,2018-09-10,16:20:00,,2018-09-10 16:20:00,24.1038,56.8853,15.0246
,,11,2018-09-10,16:30:00,,2018-09-10 16:30:00,24.1252,56.8242,15.0279
,,12,2018-09-10,16:40:00,,2018-09-10 16:40:00,24.1252,56.7403,15.0049
,,13,2018-09-10,16:50:00,,2018-09-10 16:50:00,24.1145,56.8853,15.0346
,,14,2018-09-10,17:00:00,,2018-09-10 17:00:00,24.1359,56.9158,15.0629
,,15,2018-09-10,17:10:00,,2018-09-10 17:10:00,24.1467,56.7708,15.0333
,,16,2018-09-10,17:20:00,,2018-09-10 17:20:00,24.1574,56.8548,15.0663
,,17,2018-09-10,17:30:00,,2018-09-10 17:30:00,24.1681,56.8853,15.0846
,,18,2018-09-10,17:40:00,,2018-09-10 17:40:00,24.1681,56.7403,15.0449
,,19,2018-09-10,17:50:00,,2018-09-10 17:50:00,24.1788,56.8319,15.08
,,20,2018-09-10,18:00:00,,2018-09-10 18:00:00,24.2003,56.6793,15.0582
,,21,2018-09-10,18:10:00,,2018-09-10 18:10:00,24.2003,56.8014,15.0917
,,22,2018-09-10,18:20:00,,2018-09-10 18:20:00,24.2003,56.8853,15.1146
,,23,2018-09-10,18:30:00,,2018-09-10 18:30:00,24.2003,56.6488,15.0498
,,24,2018-09-10,18:40:00,,2018-09-10 18:40:00,24.2003,56.7403,15.0749
,,25,2018-09-10,18:50:00,,2018-09-10 18:50:00,24.211,56.8319,15.11
,,26,2018-09-10,19:00:00,,2018-09-10 19:00:00,24.2217,56.8853,15.1346
,,27,2018-09-10,19:10:00,,2018-09-10 19:10:00,24.211,56.9158,15.133
,,28,2018-09-10,19:20:00,,2018-09-10 19:20:00,24.2325,56.8548,15.1363
,,29,2018-09-10,19:30:00,,2018-09-10 19:30:00,24.2217,56.7708,15.1033
,,30,2018-09-10,19:40:00,,2018-09-10 19:40:00,24.2325,56.8853,15.1447
,,31,2018-09-10,19:50:00,,2018-09-10 19:50:00,24.2325,56.7708,15.1133
,,32,2018-09-10,20:00:00,,2018-09-10 20:00:00,24.2325,56.9463,15.1613
,,33,2018-09-10,20:10:00,,2018-09-10 20:10:00,24.2432,56.9463,15.1714
,,34,2018-09-10,20:20:00,,2018-09-10 20:20:00,24.2754,56.9158,15.193
,,35,2018-09-10,20:30:00,,2018-09-10 20:30:00,24.2861,56.6259,15.1236
,,36,2018-09-10,20:40:00,,2018-09-10 20:40:00,24.2968,56.5038,15.1
,,37,2018-09-10,20:50:00,,2018-09-10 20:50:00,24.2754,56.5954,15.1052
,,38,2018-09-10,21:00:00,,2018-09-10 21:00:00,24.2754,56.5343,15.0884
,,39,2018-09-10,21:10:00,,2018-09-10 21:10:00,24.2646,56.6259,15.1036
,,40,2018-09-10,21:20:00,,2018-09-10 21:20:00,24.2646,56.6259,15.1036
,,41,2018-09-10,21:30:00,,2018-09-10 21:30:00,24.2646,56.6259,15.1036
,,42,2018-09-10,21:40:00,,2018-09-10 21:40:00,24.2646,56.6259,15.1036
,,43,2018-09-10,21:50:00,,2018-09-10 21:50:00,24.2539,56.5343,15.0684
,,44,2018-09-10,22:00:00,,2018-09-10 22:00:00,24.2325,56.336,14.9937
